,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,Timestamp
2,825,Tether USDt,USDT,tether,65153,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,85392259446.54083,88623656723.66243,True,,3,,,,2023-11-06T14:09:00.000Z,1.0006608626807265,28449256572.17565,21.1624,-0.00647005,-0.04089832,0.01862286,0.00988862,0.13553214,0.13915364,85448692004.03197,6.4255,88682224791.02,,2023-11-06T14:09:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2023-11-06 06:11:33.735702
3,52,XRP,XRP,xrp,1133,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,53615837759.0,99988316618.0,False,,4,,,,2023-11-06T14:10:00.000Z,0.7290383499742578,2886062163.868952,89.4922,2.17194297,14.21646768,26.50359217,39.5244303,46.29487303,16.69447961,39088001892.30887,2.9357,72903834997.43,,2023-11-06T14:10:00.000Z,,,,,,2023-11-06 06:11:33.735702
4,1839,BNB,BNB,bnb,1743,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,151702769.56233537,151702769.56233537,False,,5,,,,2023-11-06T14:09:00.000Z,250.6309654890598,452934903.6204655,24.9525,0.84395382,3.96239395,9.37366439,17.67661396,17.1831349,3.02537648,38021411602.77247,2.8556,38021411602.77,,2023-11-06T14:09:00.000Z,,,,,,2023-11-06 06:11:33.735702
5,3408,USDC,USDC,usd-coin,14795,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,24572401087.46619,24572401087.46619,False,,6,,,,2023-11-06T14:10:00.000Z,0.9999563092770664,3536785876.2638063,31.124,-0.0063001,-0.02870761,-0.02076633,-0.01131917,-0.02285121,-0.02228165,24571327501.498463,1.8477,24571327501.5,,2023-11-06T14:10:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2023-11-06 06:11:33.735702
6,5426,Solana,SOL,solana,541,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'modular-blockchain']",,420089026.87761706,561772037.8754092,True,,7,,,,2023-11-06T14:10:00.000Z,40.38292725621296,872404151.0186023,-6.2556,0.06030064,-1.30463524,15.56892503,72.24927083,108.37178336,73.69545932,16964424613.5321,1.2757,22685999340.1,,2023-11-06T14:10:00.000Z,,,,,,2023-11-06 06:11:33.735702
7,2010,Cardano,ADA,cardano,959,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35258617435.788,36320189326.908,False,,8,,,,2023-11-06T14:09:00.000Z,0.35403859579055513,327592824.3682716,31.1559,-0.22232897,4.36417042,17.51405691,37.03281484,39.57750475,20.58483203,12482911406.482767,0.9387,15931736810.57,,2023-11-06T14:09:00.000Z,,,,,,2023-11-06 06:11:33.735702
8,74,Dogecoin,DOGE,dogecoin,820,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,141718506383.70526,141718506383.70526,True,,9,,,,2023-11-06T14:10:00.000Z,0.0728960047723952,468624345.65000457,38.852,-0.24405777,4.21378272,4.09093706,18.75459481,15.75938991,-1.41745926,10330712917.683298,0.7768,10330712917.68,,2023-11-06T14:10:00.000Z,,,,,,2023-11-06 06:11:33.735702
9,1958,TRON,TRX,tron,861,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,88746821726.52315,88746829738.86899,True,,10,71659659264.0,7077138739.007663,,2023-11-06T14:09:00.000Z,0.09876042967124515,204195220.85209823,32.4695,0.32235974,0.51696412,3.51593323,11.95782635,25.45376722,29.2007132,8764674245.668821,0.6583,8764675036.97,,2023-11-06T14:09:00.000Z,,,,,,2023-11-06 06:11:33.735702
10,11419,Toncoin,TON,toncoin,169,2021-08-26T13:40:22.000Z,"['pos', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,3431892087.62,5047558528.0,True,,11,3414166606.0,7933188898.08548,,2023-11-06T14:10:00.000Z,2.323609188884873,13968562.7512151,0.6148,0.69413706,2.4165997,10.43144879,10.86227111,27.99544736,86.78977405,7974375990.055121,0.5989,11728553377.1,,2023-11-06T14:10:00.000Z,,,,,,2023-11-06 06:11:33.735702
11,1975,Chainlink,LINK,chainlink,1406,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'polkadot-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']",1000000000.0,556849970.4527867,1000000000.0,False,,12,,,,2023-11-06T14:09:00.000Z,12.53101858136555,696744538.6182379,7.3397,-0.43188174,4.62902293,9.14798244,64.94952921,101.40350296,69.98487862,6977897326.776728,0.5247,12531018581.37,,2023-11-06T14:09:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2023-11-06 06:11:33.735702
12,3890,Polygon,MATIC,polygon,1044,2019-04-28T00:00:00.000Z,"['pos', 'platform', 'enterprise-solutions', 'zero-knowledge-proofs', 'scaling', 'state-channel', 'coinbase-ventures-portfolio', 'layer-2', 'binance-launchpad', 'binance-labs-portfolio', 'polygon-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'modular-blockchain']",10000000000.0,9244522331.079987,10000000000.0,False,,13,,,,2023-11-06T14:09:00.000Z,0.7102574317818648,254710015.98828524,24.0369,-0.33296237,3.72229258,9.55899284,24.14199085,28.75051797,5.19576303,6565990688.92297,0.4931,7102574317.82,,2023-11-06T14:09:00.000Z,,,,,,2023-11-06 06:11:33.735702
13,6636,Polkadot,DOT,polkadot-new,605,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1242128326.847282,1374388828.5556335,True,,14,,,,2023-11-06T14:09:00.000Z,4.863919759929325,192724502.97729516,7.5783,-0.45639705,1.6008874,11.84390079,19.02158916,14.58326467,-2.93260481,6041612513.320446,0.4537,6684916981.04,,2023-11-06T14:09:00.000Z,,,,,,2023-11-06 06:11:33.735702
